seq,Kingdom,Phylum,Class,Order,Family,Genus,Species,rel_ab
095d063518c5d084d54aa006cf20cef4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,midas_g_6116,midas_s_6414,0.001415
09627ab39adbbbc48a07456c71d0c6bb,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,PBS-18,midas_g_7754,midas_s_112765,0.008492
0973dc17a02cb230dc1f93877c92c56a,Bacteria,Dependentiae,Babeliae,Babeliales,,,,0.000498
098b49f814da592396a6a3fd0961e8d4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,,0.002869
099e147c55d62e4e8282c52358ea9db5,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_1668,midas_s_30548,0.004321
09a221ef16a92a3128589472ceb9f558,Bacteria,Bacteroidota,Bacteroidia,SM1A07,,,,0.001029
09a4781a19669568e2550e5209a15310,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmataceae,,,0.001115
09c229d65172fac81816fd71e67be6b7,Bacteria,Chloroflexi,Anaerolineae,midas_o_1,midas_f_813,midas_g_113041,midas_s_113041,0.001011
09c76637c21761c407d6d3eca21c638f,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,midas_s_13895,0.001666
09cebb8ed5b4b1ba1256b50305104072,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,,,0.001196
09dba6fb5405a55fcc7ff2c5cab82a10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,midas_s_116444,0.000531
09e47256d34b485ef93fd5bcec33bb33,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Oikopleura,,0.003174
09f3f14ff262a08e210128ea44419f8b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,,0.004221
0a00c1bd8e41111d0a93ed96d89d9d76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,,0.007076
0a0ed407936f95396c14cf6f059d6915,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Schlesneria,Schlesneria_paludicola,0.001486
0a190f76ccbf2dffffdbaae401ed56b1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,,0.001689
0a1e46f53dd9eb1c4aae50dd21cf65ca,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,LD-RB-34,midas_g_33416,midas_s_33416,0.015514
0a20c0ecd4432c9e38a68db9217695b5,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,,0.01202
0a25c3ac566faa3dcda460868bea4ca9,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,midas_f_38514,midas_g_61071,midas_s_71030,0.000436
0a28c97ae9115ba09c964977095a4677,Bacteria,Dependentiae,Babeliae,Babeliales,,,,0.000809
0a31b5607e6020aa656e595d9130c2f5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,,0.007376
0a3f52f27cec76b821bd51e26fc08f88,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,0.013485
0a486943ae9dce70e971e01020e5949c,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,midas_g_5467,midas_s_42201,0.120178
0a4dae6c36a924945c5ad8318aff7ecb,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,midas_f_84699,midas_g_84699,midas_s_84699,0.002224
0a71114f7a13af5c5e649810d49a3773,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.005498
0a7f6a0cb4034ab075dd38b3592f8d1e,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21,midas_s_3702,0.018803
0a90e69f3244bf4921742c1c179c9378,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,midas_f_1792,midas_g_4975,midas_s_5047,0.00074
0a9812dfeb4ee5f740eb28ff0659b720,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,midas_g_89500,midas_s_89500,0.017842
0aaa1cfaec18dcb5a7be8a80929dcb6f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ca_Accumulibacter,,0.001111
0aca27487d54e80b6b433562c24e3302,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,midas_g_543,,0.001222
0ae8cb74e7e1f5d0551ea660cbb25dc0,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,,,,0.089212
0afdd7eddb9a71ce53cf6487747ec98c,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,midas_s_5283,0.002117
0b125d869a1a6045f968fc419ea9d14e,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,midas_g_3529,,0.000525
0b1dc99e2e45931f58ab34d22bd58af4,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.022957
0b33bd30acb8030dc0b722e6e2783816,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,midas_g_7080,midas_s_7080,0.002117
0b42befcfe2f0a5958e7676a9269bac7,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.012491
0b4524086ffe1c02016fc92472165270,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,midas_g_2400,,0.00119
0b4c56c3d68d67b5f5269c5658cee8ba,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,,0.000493
0b4fdd7e59901ec97ff92ba540906765,Bacteria,WS1,midas_c_796,midas_o_796,midas_f_2296,midas_g_3409,midas_s_3951,0.013643
0b5dd85d83833d0010ef224c96e76faf,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,midas_s_11131,0.000556
0b886c176d9f7dd89c957f11cb337e71,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,midas_g_10909,,0.000823
0b8b07491280b305e36facca3c8af441,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.028479
0b9150d37cbe9dc43b94b7d618b84db2,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Ca_Methanofastidiosum,midas_s_8154,0.059912
0bab6738ff2cdb0d2493d0062857af6b,Bacteria,FCPU426,midas_c_10547,midas_o_11417,midas_f_11417,midas_g_50499,midas_s_50499,0.002022
0bb567fd1ac63f8c57e18563c43c2c2d,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.00917
0bbeaab28a6a3829b1504cef9a983b06,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,,0.000733
0bd5cdc0a4e53e211aad2617e20a2775,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,midas_f_428,midas_g_428,midas_s_5334,0.002338
0bddd68a5b2f6d89286417e14a1a51dd,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,,,0.001736
