abundance_day,COD-Inf [mg/L],P-Inf [mg/L],P-return [mg/L],N-Inf [mg/L],COD:P,COD:N,N:P,P_An-1 [mg/L],Acetate ppm [mg/L],Propionate ppm [mg/L],Acetate ppm [COD mg/L],Propionate ppm [COD mg/L],COD_An_1 [COD mg/L],P_An-2 [COD mg/L],COD_An_2 [COD mg/L],DO_An-1 [mg/L],DO_An-2 [mg/L],OPR_An-1 [mV],OPR_An-2 [mV],An_time [minutes],P_Ax-1 [mg/L],N_Ax-1 [mg/L],P_Ax-2 [mg/L],N_Ax-2 [mg/L],peakN2O [mg/L],pN2O_time [minutes],ORP_Ax-2 [mV],Ax_react_time [minutes],Ax_time [minutes],P_A-1 [mg/L],P_A-2 [mg/L],A_time [minutes],MLSS,MLSS [avg],SRT,COD removal [COD%],N removal [N%],N to N2O conversion [N2O%],P removal [P%],Cod removal (ppm) [COD-ppm],N removal (ppm) [N-ppn],P removal (ppm) [P-ppm],Anoxic P removal [ANO-P-ppm],Aerobic P removal [AER-P-ppm],denitrification rate [mg NO2–N  h−1],specific denitrification rates [mg NO2–N g−1 VSS−1 h−1]
-229,134.64000000000001,10.064,4.6005714285714285,9.634285714285713,11.330130079985432,7.006817047756025,1.647092671200675,10.865714285714287,,,,,67.32000000000001,23.114285714285714,5.603428571428571,6.12,,,,80.0,0.0,9.634285714285713,15.914285714285715,1e-05,0.1,,,175.0,180.0,0.0,8.954285714285714,100.0,,2790.000000000009,,0.9596675366684235,0.9999989613602788,0.025303149422535184,1.0,129.03657142857145,9.634275714285714,3.0274285714285716,7.2,6.959999999999999,3.3031802448979595,
-228,137.844,10.064,5.303714285714285,9.562857142857142,11.136430485514381,7.223440664533741,1.5660200520374097,11.877142857142857,,,,,68.92200000000001,25.34285714285714,6.324285714285715,6.3,,,,80.0,0.0,9.562857142857142,16.942857142857143,1e-05,0.11,,,175.0,180.0,0.0,9.182857142857143,100.0,,2790.000000000009,,0.9551662437932389,0.9999989537164774,0.03137692039508796,1.0,131.5197142857143,9.562847142857143,3.278285714285714,8.4,7.76,3.2786904489795923,
-227,141.048,10.064,6.006857142857142,9.491428571428571,10.94273089104333,7.440064281311456,1.4849474328741445,12.888571428571428,,,,,70.524,27.57142857142857,7.0451428571428565,4.08,,,,80.0,0.0,9.491428571428571,17.97142857142857,1e-05,0.12,,,175.0,180.0,0.0,9.411428571428571,100.0,,2790.000000000009,,0.9506649509180543,0.9999989460726761,0.037450691367640725,1.0,134.00285714285715,9.491418571428571,3.5291428571428565,9.600000000000001,8.559999999999999,3.2542006530612246,
-226,144.252,13.42,6.71,9.42,10.74903129657228,7.656687898089173,1.4038748137108792,13.9,,,,,72.126,29.8,7.766,9.31,0.21,,,80.0,29.8,9.42,19.0,1e-05,0.41,,,175.0,180.0,19.0,9.64,100.0,,2790.000000000009,,0.9461636580428696,0.9999989384288748,0.0435244623401935,0.2816691505216095,136.48600000000002,9.41999,3.7799999999999994,10.8,9.36,3.2297108571428574,1.157602457757293
-225,233.668,18.56,9.33,14.5,12.589870689655172,8.05751724137931,1.5624999999999998,18.61,,,,,116.834,47.14,7.85,8.16,,,,80.0,47.14,14.5,29.07,0.58,1.44,,,175.0,180.0,29.07,13.99,100.0,2790.000000000009,2790.000000000009,26.52595550484772,0.9664053272163924,0.96,0.1034482758620689,0.2462284482758621,225.818,13.92,4.570000000000002,18.07,15.08,4.772571428571429,1.7105990783410083
-224,218.222,17.948333333333334,8.969999999999999,14.0,12.14311838655033,7.783869731800767,1.5599464045375888,17.705,,,,,109.111,41.97,4.4535,8.32,,,,80.0,41.97,14.0,26.435,0.6074999999999999,1.23,,,175.0,180.0,26.435,13.344999999999999,100.0,2777.1428571428714,2790.000000000009,26.130740167629305,0.9805963393883674,0.9564814814814815,0.12323599179811565,0.2568385079295097,213.76850000000002,13.3925,4.603333333333336,15.535000000000004,13.09,4.591714285714286,1.6457757296466922
-223,202.776,17.33666666666667,8.61,13.5,11.69636608344549,7.510222222222223,1.5573928090751776,16.8,,,,,101.388,36.8,1.057,7.18,,,,80.0,36.8,13.5,23.799999999999997,0.635,1.84,,,175.0,180.0,23.799999999999997,12.7,100.0,2764.285714285734,2790.000000000009,25.735524830410892,0.9947873515603424,0.952962962962963,0.1430237077341624,0.2674485675831572,201.719,12.865,4.63666666666667,13.000000000000009,11.099999999999998,4.410857142857143,1.580952380952376
-222,221.0,18.24,8.18,16.35,12.116228070175437,6.758409785932721,1.7927631578947367,17.3,,,,,110.5,40.0,1.047,4.54,,,,80.0,40.0,16.35,24.0,3.63,2.45,,,175.0,180.0,24.0,14.3,100.0,2751.428571428596,2700.0000000000455,25.34030949319248,0.995262443438914,0.7779816513761468,0.1926100628930817,0.2160087719298247,219.953,12.720000000000002,3.940000000000003,16.0,9.7,4.361142857142858,1.6152380952380685
-221,225.866,18.96,8.953333333333333,17.21666666666667,11.927125902992776,6.5777085468223415,1.8161040787623068,18.433333333333334,,,,,112.933,42.06666666666667,0.698,4.776666666666666,,,,80.0,42.06666666666667,17.21666666666667,25.95,3.4699999999999998,2.41,,,175.0,180.0,25.95,15.425,100.0,2738.5714285714585,2700.0000000000455,23.05199470982255,0.996841628959276,1.0,0.1399806389157792,1.0,225.168,13.602222222222224,3.415,15.700000000000001,10.524999999999999,5.902857142857144,1.7272663139329518
-220,230.732,19.44,9.726666666666667,17.794444444444444,11.738023735810115,6.397007307711963,1.8307041609510748,19.566666666666666,,,,,115.366,44.13333333333333,0.349,5.013333333333334,,,,80.0,44.13333333333333,17.794444444444444,27.9,3.31,2.31,,,175.0,180.0,27.9,16.55,100.0,2725.714285714321,2700.0000000000455,20.763679926452625,0.998420814479638,0.8139868872931626,0.15948143602332,0.148662551440329,230.383,14.484444444444444,2.889999999999997,15.400000000000002,11.349999999999998,4.966095238095238,1.839294532627835
-219,235.598,20.399999999999995,10.5,18.95,11.548921568627454,6.216306068601583,1.8578431372549025,20.7,,,,,117.799,46.2,0.0,5.25,,,,80.0,46.2,18.95,31.1,2.22,2.05,,,175.0,180.0,31.1,17.1,100.0,2712.857142857183,2700.0000000000455,18.475365143082694,1.0,0.8828496042216359,0.122534369396294,0.1617647058823526,235.598,16.73,3.2999999999999936,15.100000000000003,13.999999999999996,5.736000000000001,2.124444444444409
-218,358.37,25.977777777777785,38.45,16.13,13.795252352437975,11.108803471791694,1.2418306244653543,34.35,,,,,179.185,65.02,3.835,2.71,,,,80.0,65.02,16.13,55.57,1.52,0.36,,,175.0,180.0,55.57,35.86,100.0,2700.0000000000455,2700.0000000000455,16.187050359712767,0.9892987694282446,0.9057656540607564,0.0246406570841889,-0.3804106073567147,354.535,14.61,-9.882222222222214,9.449999999999996,19.71,5.009142857142857,1.855238095238064
-217,304.778,25.57777777777777,23.0,16.55,11.91573414422242,9.207794561933534,1.2940920938314515,29.4,,,,,152.389,45.0,21.211,,,,,80.0,45.0,16.55,44.0,1e-05,0.6,,,175.0,180.0,44.0,26.6,100.0,2720.0000000000446,2700.0000000000455,17.45664405144366,0.9304050817316212,0.9999993957703928,0.0362537983406636,-0.0399652476107736,283.567,16.54999,-1.0222222222222328,1.0,17.4,5.674282285714287,2.1015860317459967
-216,298.73893333333336,26.835238095238086,22.731428571428573,16.825000000000003,11.576280392546334,8.981854142741883,1.283658759725554,28.5,,,,,149.36946666666668,45.96666666666667,19.148116666666667,,,,,80.0,45.96666666666667,16.825000000000003,42.266666666666666,1e-05,1.58,,,175.0,180.0,42.266666666666666,25.32,100.0,2740.000000000043,2700.0000000000455,18.72623774317455,0.9365217606703461,1.0,0.0939078751857355,0.02300327733254224,279.5908166666667,16.64165666666667,1.0923809523809425,3.6999999999999993,16.946666666666665,5.76857142857143,2.0929798349798014
-215,292.69986666666665,28.092698412698404,22.462857142857143,16.825000000000003,11.236826640870248,8.755913723550231,1.2732254256196565,27.599999999999998,,,,,146.34993333333333,46.93333333333333,17.085233333333335,2.7279999999999998,,,,80.0,46.93333333333333,16.825000000000003,40.53333333333333,1e-05,2.24,,,175.0,180.0,40.53333333333333,24.040000000000003,100.0,2760.000000000042,2780.000000000041,19.99583143490544,0.942638439609071,1.0,0.1331352154531946,0.08597180227585807,275.6146333333333,16.733323333333335,3.2069841269841177,6.399999999999999,16.493333333333332,5.76857142857143,2.084373638213606
-214,286.6608,29.35015873015872,22.194285714285716,16.825000000000003,10.897372889194163,8.52997330435858,1.262792091513759,26.7,,,,,143.3304,47.9,15.02235,2.734,,,,80.0,47.9,16.825000000000003,38.8,1e-05,2.61,,,175.0,180.0,38.8,22.76,100.0,2780.000000000041,2860.0000000000364,21.265425126636334,0.9487551185477958,1.0,0.1551263001485884,0.1489403272191739,271.63845,16.82499,5.321587301587293,9.099999999999998,16.04,5.76857142857143,2.075767441447411
-213,280.62173333333334,30.60761904761904,21.925714285714285,16.825000000000003,10.557919137518079,8.304032885166928,1.2523587574078614,25.8,,,,,140.31086666666667,48.86666666666667,12.959466666666668,2.74,,,,80.0,48.86666666666667,16.825000000000003,37.06666666666667,1e-05,2.87,,,175.0,180.0,37.06666666666667,21.480000000000004,100.0,2800.00000000004,2860.0000000000364,22.535018818367227,0.9548717974865207,1.0,0.1705794947994056,0.21190885216248975,267.66226666666665,16.91665666666667,7.436190476190468,11.799999999999997,15.586666666666666,5.76857142857143,2.0671612446812158
-212,274.5826666666666,31.86507936507936,21.65714285714286,16.825000000000003,10.218465385841993,8.078092465975276,1.2419254233019639,24.9,,,,,137.2913333333333,49.83333333333333,10.896583333333332,2.746,,,,80.0,49.83333333333333,16.825000000000003,35.333333333333336,1e-05,3.53,,,175.0,180.0,35.333333333333336,20.200000000000003,100.0,2820.0000000000387,2860.0000000000364,23.804612510098117,0.9609884764252457,1.0,0.2098068350668647,0.2748773771058056,263.6860833333333,17.008323333333337,9.550793650793644,14.499999999999996,15.133333333333333,5.76857142857143,2.0585550479150205
-211,268.54359999999997,33.122539682539674,21.388571428571428,17.1,9.879011634165908,7.852152046783624,1.2314920891960663,24.0,,,,,134.27179999999998,50.8,8.8337,2.752,,,,80.0,50.8,17.1,33.6,1e-05,4.07,,,175.0,180.0,33.6,18.92,100.0,2840.0000000000373,2860.0000000000364,25.074206201829007,0.9671051553639706,0.9999994152046784,0.2380118350946404,0.33784590204912146,259.70989999999995,17.099990000000002,11.665396825396819,17.199999999999996,14.68,5.862853714285715,2.0499488511488253
-210,327.97,34.379999999999995,21.12,20.99,9.539557882489822,7.812529776083851,1.2210587550901688,27.75,,,,,163.985,65.07,8.543,,,,,80.0,65.07,20.99,37.89,0.43,5.12,,,175.0,180.0,37.89,20.6,100.0,2860.0000000000364,2860.0000000000364,26.3437998935599,0.9739518858432172,0.9795140543115768,0.2490272373540856,0.4008144269924373,319.427,20.56,13.779999999999994,27.179999999999993,17.29,7.049142857142857,2.4647352647352334
-209,338.3448,34.01,15.74,20.595,9.839399866003482,7.825486284575086,1.2110050018019214,24.875,,,,,169.1724,56.135,8.4112,,,,,80.0,56.135,20.595,33.745000000000005,0.3395,5.19,,,175.0,180.0,33.745000000000005,15.4,100.0,2890.0000000000273,2935.0000000000136,26.252792208425937,0.9750103308226135,1.0,0.2520029133284778,0.5488019816293934,329.9336,20.255499999999998,18.61,22.389999999999997,18.345,7.061142857142857,2.397673059478831
-208,348.7196,33.64,10.36,20.2,10.139241849517143,7.838442793066321,1.2009512485136742,22.0,,,,,174.3598,47.2,8.279399999999999,2.77,,,,80.0,47.2,20.2,29.6,0.249,5.89,,,175.0,180.0,29.6,10.2,100.0,2920.000000000018,2935.0000000000136,26.161784523291974,0.9760687758020098,0.9876732673267328,0.2952232970778407,0.6967895362663497,340.4402,19.951,23.44,17.6,19.4,6.840342857142858,2.330610854222428
-207,359.0944,33.89666666666667,16.656666666666666,20.2,10.439083833030804,7.851399301557556,1.2677464392396693,25.276666666666667,,,,,179.5472,55.20666666666666,8.1476,3.4866666666666664,,,,80.0,55.20666666666666,20.2,35.15,0.5993333333333334,6.59,,,175.0,180.0,35.15,16.53,100.0,2950.000000000009,3009.999999999991,26.070776838158014,0.977127220781406,1.0,0.3262376237623762,0.5150930532388858,350.9468,20.904,17.366666666666667,20.05666666666667,18.619999999999997,6.925714285714286,2.4198060654474496
-206,369.4692,34.15333333333333,22.953333333333333,20.2,10.738925816544464,7.8643558100487905,1.3345416299656643,28.55333333333333,,,,,184.7346,63.21333333333333,8.0158,4.203333333333333,,,,80.0,63.21333333333333,20.2,40.7,0.9496666666666668,6.81,,,175.0,180.0,40.7,22.86,100.0,2980.0,3009.999999999991,25.97976915302405,0.9781856657608023,1.0,0.3371287128712871,0.3333965702114219,361.4534,21.857,11.293333333333331,22.513333333333332,17.84,6.925714285714286,2.5090012766724707
-205,379.844,34.41,29.25,24.11,11.038767800058125,7.877312318540025,1.4013368206916594,31.83,,,,,189.922,71.22,7.884,4.92,,,,80.0,71.22,24.11,46.25,1.3,6.74,,,175.0,180.0,46.25,29.19,100.0,3009.999999999991,3009.999999999991,25.888761467890088,0.9792441107401986,0.9460804645375362,0.2954844366505919,0.151700087183958,371.96,22.81,5.219999999999995,24.97,17.06,7.820571428571428,2.5981964878974924
-204,379.844,34.41,28.80125,23.75,11.55814182505086,7.745693553605742,1.3804126707352515,31.0175,,,,,189.922,69.365,6.961,4.593333333333334,,,,80.0,54.5,23.75,32.7,2.35,7.21,,,175.0,180.0,32.7,20.7,100.0,2963.749999999993,3009.999999999991,25.707718950631563,0.9792441107401986,0.9010526315789472,0.3369158878504673,0.3984306887532693,371.96,21.4,13.709999999999996,21.799999999999997,12.000000000000004,7.337142857142857,2.4375889890840132
-203,379.844,34.41,28.3525,25.299999999999997,12.077515850043595,7.614074788671458,1.4705027608253414,30.205,,,,,189.922,67.51,6.038,4.266666666666667,,,,80.0,60.0,25.299999999999997,39.65,3.2,8.29,,,175.0,180.0,39.65,23.95,100.0,2917.4999999999955,3009.999999999991,25.526676433373037,0.9792441107401986,0.8735177865612649,0.3751131221719457,0.3039814007555942,371.96,22.1,10.459999999999996,20.35,15.7,7.577142857142856,2.5173232083531163
-202,379.844,30.205,27.90375,25.35,12.596889875036329,7.482456023737175,1.6785300446945872,29.3925,,,,,189.922,65.655,5.115,3.94,,,,80.0,62.125,25.35,42.075,4.09,8.62,,,175.0,180.0,42.075,22.6,100.0,2871.2499999999977,2825.0,25.34563391611451,0.9792441107401986,0.8386587771203156,0.405456255879586,0.2517795067041879,371.96,21.26,7.604999999999997,20.05,15.35,7.289142857142858,2.5813888769038265
-201,379.844,26.0,27.455,25.4,13.116263900029065,7.3508372588028905,1.9538461538461536,28.58,,,,,189.922,63.8,4.192,7.34,,,,80.0,64.25,25.4,44.5,5.03,7.53,,,175.0,180.0,44.5,29.5,100.0,2825.0,2640.000000000009,25.16459139885599,0.9792441107401986,0.8019685039370078,0.3696612665684831,-0.1346153846153846,371.96,20.369999999999997,-3.5,19.75,15.0,6.983999999999999,2.645454545454536
-200,379.844,26.0,27.00625,26.209999999999997,13.6356379250218,7.219218493868607,2.0161538461538457,27.7675,,,,,189.922,61.945,5.115,7.46,,,,80.0,62.2825,26.209999999999997,43.4125,5.9025,8.45,,,175.0,180.0,43.4125,29.185,100.0,2778.7500000000023,2640.000000000009,24.983548881597464,0.9792441107401986,1.0,0.3223960320488363,1.0,371.96,20.104999999999997,-3.4350000000000014,18.87,14.2275,8.986285714285714,2.611038961038952
-199,379.844,26.0,26.5575,26.749999999999996,14.155011950014535,7.0875997289343236,2.0576923076923075,26.955,,,,,189.922,60.09,6.038,7.58,,,,80.0,60.315,26.749999999999996,42.325,6.775,7.32,,,175.0,180.0,42.325,28.869999999999997,100.0,2732.5000000000045,2640.000000000009,24.80250636433894,0.9792441107401986,1.0,0.2736448598130842,1.0,371.96,19.839999999999996,-3.3700000000000028,17.990000000000002,13.455,9.17142857142857,2.5766233766233677
-198,379.844,26.0,26.10875,27.109999999999996,14.674385975007269,6.95598096400004,2.085384615384615,26.1425,,,,,189.922,58.235,6.961,7.7,,,,80.0,58.347500000000004,27.109999999999996,41.2375,7.6475,7.58,,,175.0,180.0,41.2375,28.555,100.0,2686.250000000007,2640.000000000009,24.621463847080413,0.9792441107401986,1.0,0.2796016230173368,1.0,371.96,19.575,-3.305000000000004,17.110000000000003,12.682500000000001,9.294857142857142,2.5422077922077833
-197,379.844,24.999999999999993,25.66,27.83,15.193760000000005,6.824362199065757,2.2264000000000004,25.33,,,,,189.922,56.38,7.884,7.82,,,,80.0,56.38,27.83,40.15,8.52,7.36,,,175.0,180.0,40.15,28.24,100.0,2640.000000000009,2640.000000000009,24.440421329821888,0.9792441107401986,0.6938555515630614,0.3811496633868462,-0.1296000000000002,371.96,19.31,-3.2400000000000055,16.230000000000004,11.91,6.620571428571428,2.5077922077921992
-196,387.48356866666666,26.0,,25.8,15.39019366666667,7.005684149779085,1.984615384615385,26.275,,,,,193.74178433333333,52.31666666666667,39.595247114,7.555000000000001,,,,80.0,56.49999999999999,25.8,39.0,8.94,6.04,,,175.0,180.0,39.0,27.0,100.0,2621.6666666666774,2640.000000000009,24.72748289113064,0.9051213508937761,0.6534883720930232,0.3582443653618031,-0.0384615384615384,347.88832155266664,16.86,-1.0,17.499999999999993,12.0,5.780571428571428,2.1896103896103822
-195,395.1231373333333,26.0,21.75777777777778,25.0,15.586627333333336,7.187006100492413,1.9230769230769231,27.22,,,,,197.56156866666666,48.25333333333334,71.306494228,7.29,,,,80.0,58.25,25.0,24.85,13.12,3.87,,,175.0,180.0,24.85,19.65,100.0,2603.3333333333453,2585.0000000000136,25.0145444524394,0.8309985910473536,0.4752,0.3257575757575757,0.2442307692307691,323.8166431053333,11.88,6.349999999999998,16.749999999999996,5.199999999999999,4.073142857142858,1.5756838905774997
-194,402.762706,26.0,19.80666666666667,23.450000000000003,15.783061000000002,7.36832805120574,1.803846153846154,28.165,,,,,201.381353,44.19,103.01774134200001,7.025,,,,80.0,60.0,23.450000000000003,44.0,9.74,5.3,,,175.0,180.0,44.0,29.5,100.0,2585.0000000000136,2495.0000000000045,25.301606013748152,0.7568758312009312,0.5846481876332623,0.386579139314369,-0.1346153846153846,299.74496465799996,13.710000000000004,-3.5,16.0,14.5,4.70057142857143,1.883996564557684
-193,410.4022746666667,26.0,17.855555555555558,25.0,15.979494666666668,7.549650001919068,1.8634615384615385,29.11,,,,,205.20113733333335,40.126666666666665,134.72898845600002,6.760000000000001,,,,80.0,50.66666666666667,25.0,39.733333333333334,6.493333333333334,6.14,,,175.0,180.0,39.733333333333334,29.566666666666666,100.0,2566.666666666682,2495.0000000000045,25.588667575056906,0.6827530713545087,1.0,0.2455999999999999,0.4326923076923077,275.6732862106667,18.10666666666667,-3.5666666666666678,10.933333333333334,10.166666666666668,8.571428571428571,2.4881763527054064
-192,418.04184333333336,26.0,15.904444444444445,25.0,16.17592833333333,7.730971952632396,1.9230769230769231,30.055,,,,,209.02092166666668,36.06333333333333,166.44023557000003,6.495,,,,80.0,41.333333333333336,25.0,35.46666666666667,3.246666666666667,2.93,,,175.0,180.0,35.46666666666667,29.633333333333336,100.0,2548.33333333335,2495.0000000000045,25.875729136365663,0.6086303115080862,1.0,0.1172,1.0,251.60160776333328,22.503333333333334,-3.633333333333335,5.866666666666665,5.833333333333334,8.571428571428571,3.0923561408531293
-191,425.681412,26.0,13.953333333333335,26.9,16.372362,7.9122939033457245,2.069230769230769,31.0,149.362,35.318,159.36925399999998,53.471452,212.840706,32.0,198.151482684,6.23,,,,80.0,32.0,26.9,31.200000000000003,0.0,0.04,,,175.0,180.0,31.200000000000003,29.700000000000003,100.0,2530.000000000018,2495.0000000000045,26.162790697674417,0.5345075516616637,1.0,0.0014869888475836,-0.1423076923076924,227.52992931599996,26.9,-3.700000000000003,0.7999999999999972,1.5,9.222857142857142,3.696535929000852
-190,369.74020599999994,26.0,12.002222222222223,30.92,14.220777153846152,5.978981338939197,2.378461538461538,31.14,129.777,30.646,138.47205899999997,46.398044,184.87010299999997,36.73,140.82875809799998,3.6050000000000004,,,,80.0,36.73,30.92,38.79,0.34,0.06,,,175.0,180.0,38.79,29.0,100.0,2459.999999999991,2495.0000000000045,20.820011284559385,0.6191142975184041,0.9890038809831824,0.0019620667102681,-0.1153846153846153,228.91144790199996,30.58,-3.0,-2.0600000000000023,9.79,10.48457142857143,4.2022330375035715
-189,299.15425799999997,26.5,,25.0,14.890101465811963,5.983085159999999,2.0225641025641026,14.06,106.041,24.063,113.145747,36.431382,149.577129,29.2,42.84084251299999,0.98,,,,80.0,29.2,25.0,17.259999999999998,0.0,0.06,,,175.0,180.0,17.259999999999998,8.870000000000001,100.0,2662.8571428571377,2495.0000000000045,20.46412172670704,0.8567934723730392,1.0,0.0024,0.1108262108262109,256.313415487,25.0,3.05,11.94,8.389999999999997,8.571428571428571,3.435442313197818
-188,420.104496,27.0,8.100000000000001,22.5,15.559425777777776,9.335655466666667,1.6666666666666667,21.6,148.02,34.422,157.93734,52.11490799999999,210.052248,43.2,22.919222348,0.79,,,,80.0,43.2,22.5,26.8,0.0,3.75,,,175.0,180.0,26.8,17.9,100.0,2865.7142857142844,2459.999999999991,20.108232168854702,0.9454439965146196,1.0,0.1666666666666666,0.3370370370370371,397.185273652,22.5,9.1,16.400000000000002,8.900000000000002,7.714285714285714,3.135888501742172
-187,365.005702,25.8,9.484000000000002,20.9,14.147507829457364,8.732193827751196,1.6201550387596897,23.450000000000003,127.259,30.857,135.785353,46.717498,182.502851,45.275000000000006,1.41172636,3.82,,,,80.0,48.4,20.9,26.0,0.001,4.74,,,175.0,180.0,26.0,17.95,100.0,3068.571428571431,3880.000000000018,19.75234261100236,0.9961323169685716,0.9999521531100478,0.2268051102923585,0.3042635658914729,363.59397564,20.898999999999997,7.850000000000001,22.4,8.05,7.165371428571428,1.8467452135493283
